From_City,Destination,Destination_Type,Trip_Duration_Days,Activities_Count,Accommodation,Transport_Mode,Package_Type,Budget,Season
bengaluru,goa,Beach,3,2,Hotel,Train,Standard,17820,Winter
bengaluru,goa,Beach,5,3,Camping,Car,Luxury,29600,Winter
bengaluru,goa,Beach,10,2,Resort,Flight,Standard,57600,Winter
bengaluru,goa,Beach,2,2,Hotel,Bus,Standard,11520,Winter
bengaluru,goa,Beach,10,6,Hotel,Car,Luxury,76800,Winter
bengaluru,goa,Beach,5,7,Hotel,Flight,Standard,50880,Winter
bengaluru,goa,Beach,9,6,Hotel,Train,Standard,40260,Winter
bengaluru,goa,Beach,4,7,Resort,Flight,Premium,84000,Winter
bengaluru,goa,Beach,6,3,Resort,Bus,Premium,33600,Winter
bengaluru,goa,Beach,3,2,Resort,Flight,Standard,32400,Winter
bengaluru,goa,City,7,8,Hotel,Train,Luxury,83160,Winter
bengaluru,goa,City,6,8,Camping,Car,Luxury,48000,Winter
bengaluru,goa,City,9,6,Resort,Car,Premium,64049,Winter
bengaluru,goa,City,3,6,Hotel,Train,Luxury,56760,Winter
bengaluru,goa,City,7,6,Hotel,Bus,Luxury,52800,Winter
bengaluru,goa,City,3,2,Hotel,Bus,Premium,18144,Winter
bengaluru,goa,City,3,8,Hotel,Bus,Standard,24480,Winter
bengaluru,goa,City,8,4,Hotel,Flight,Luxury,96000,Winter
bengaluru,goa,City,7,3,Hotel,Train,Premium,39732,Winter
bengaluru,goa,City,5,7,Hotel,Train,Luxury,69960,Winter
bengaluru,goa,Cultural,3,6,Resort,Bus,Luxury,51600,Winter
bengaluru,goa,Cultural,5,3,Hotel,Flight,Premium,49728,Winter
bengaluru,goa,Cultural,6,7,Hotel,Bus,Luxury,53760,Winter
bengaluru,goa,Cultural,7,8,Hotel,Car,Standard,37800,Winter
bengaluru,goa,Cultural,2,8,Hotel,Train,Premium,44352,Winter
bengaluru,goa,Cultural,6,2,Resort,Bus,Luxury,43200,Winter
bengaluru,goa,Cultural,7,3,Hotel,Flight,Premium,57791,Winter
bengaluru,goa,Cultural,9,3,Hotel,Train,Standard,32340,Winter
bengaluru,goa,Cultural,5,7,Hotel,Train,Luxury,69960,Winter
bengaluru,goa,Cultural,8,6,Hotel,Flight,Premium,77952,Winter
